model,variant,n_features,cv_f1_mean,cv_f1_std,val_f1,val_precision,val_recall,val_mcc,val_roc_auc,val_tn,val_fp,val_fn,val_tp,test_f1,test_precision,test_recall,test_mcc,test_roc_auc,test_tn,test_fp,test_fn,test_tp
logistic_regression,A_churn,12,0.3323076923076923,0.196078435497802,0.42857142857142855,0.375,0.5,0.0,0.6,5,5,3,3,0.6666666666666666,0.5454545454545454,0.8571428571428571,0.32277655457716287,0.6507936507936507,4,5,1,6
random_forest,A_churn,12,0.4022222222222222,0.0954262691270395,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.24370871833797697,0.475,4,6,1,5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.49206349206349204,0.6746031746031746,7,2,2,5
svm,A_churn,12,0.498021978021978,0.057553050140591575,0.36363636363636365,0.4,0.3333333333333333,0.034815531191139566,0.5666666666666667,7,3,4,2,0.4,0.6666666666666666,0.2857142857142857,0.2219167619785609,0.3650793650793651,8,1,5,2
xgboost,A_churn,12,0.5354066985645932,0.14487767134428878,0.4444444444444444,0.3333333333333333,0.6666666666666666,-0.14907119849998599,0.3583333333333333,2,8,2,4,0.5,0.4444444444444444,0.5714285714285714,0.015873015873015872,0.7619047619047619,4,5,3,4
logistic_regression,B_network,18,0.46971182412358886,0.16288172690184308,0.42857142857142855,0.375,0.5,0.0,0.55,5,5,3,3,0.625,0.5555555555555556,0.7142857142857143,0.2698412698412698,0.6349206349206349,5,4,2,5
random_forest,B_network,18,0.4967565767565768,0.09805019504878858,0.42857142857142855,0.375,0.5,0.0,0.575,5,5,3,3,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.015873015873015872,0.380952380952381,5,4,4,3
svm,B_network,18,0.5048951048951049,0.10378338617772943,0.36363636363636365,0.4,0.3333333333333333,0.034815531191139566,0.6,7,3,4,2,0.4444444444444444,1.0,0.2857142857142857,0.42857142857142855,0.5555555555555556,9,0,5,2
xgboost,B_network,18,0.5148498560263266,0.091800797862646,0.5454545454545454,0.6,0.5,0.3133397807202561,0.5833333333333333,8,2,3,3,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.015873015873015872,0.5238095238095238,5,4,4,3
logistic_regression,C_combined,39,0.6166666666666666,0.1183215956619923,0.5454545454545454,0.6,0.5,0.3133397807202561,0.8666666666666667,8,2,3,3,0.5454545454545454,0.75,0.42857142857142855,0.363696483726654,0.7936507936507937,8,1,4,3
random_forest,C_combined,39,0.6726209463051569,0.16202779220085747,0.7272727272727273,0.8,0.6666666666666666,0.5918640302493726,0.7833333333333333,9,1,2,4,0.6,1.0,0.42857142857142855,0.5447047794019222,0.8095238095238095,9,0,4,3
svm,C_combined,39,0.6133333333333333,0.11661903789690602,0.5454545454545454,0.6,0.5,0.3133397807202561,0.8166666666666667,8,2,3,3,0.4,0.6666666666666666,0.2857142857142857,0.2219167619785609,0.6349206349206349,8,1,5,2
xgboost,C_combined,39,0.6260008996851102,0.09865965132139513,0.7272727272727273,0.8,0.6666666666666666,0.5918640302493726,0.7833333333333333,9,1,2,4,0.8333333333333334,1.0,0.7142857142857143,0.7644707871564383,0.8412698412698413,9,0,2,5
